,Winery,Lats,Longs
2784,Château Les Palais,46.817452,-71.2138514
2785,Veglio,45.6575474,8.096065099999999
2786,Castelli del Grevepesa,43.6312218,11.2722248
2787,Château de Hauterive,45.535007,3.2334742
2788,Domaine Cauhapé,43.3132207,-0.6144583
2789,Il Conventino,43.7445768,10.5318215
2790,Pietracupa,41.6804743,14.5130967
2791,Roblar,34.649,-120.096078
2792,Kaella,47.7639082,-122.1498192
2793,Leoness,33.5239087,-117.0184667
2794,Luna Beberide,42.60205209999999,-6.738811999999999
2795,Poggio Rubino,43.0425862,11.4661589
2796,San Filippo,42.180248,-88.2108315
2797,Locati Cellars,46.0677004,-118.3403735
2798,Mauro Sebaste,44.6493296,7.978653899999999
2799,Merry Cellars,46.75105,-117.156744
2800,Pasquale Pelissero,44.7331,8.1107201
2801,Château Ducasse,45.1915683,-0.8002904
2802,Château Reysson,45.254194,-0.8408909999999999
2803,Château Tanesse,44.8313754,-0.5772374
2804,Ancien,38.2976576,-122.2351295
2805,Boheme,29.7479948,-95.38606180000001
2806,Château Durfort-Vivens,45.0398934,-0.6748538
2807,Gigi Rosso,44.6379247,7.969805300000001
2808,Rossi Wallace,38.5176253,-122.4470831
2809,Block Wines,43.573758,-79.93402999999999
2810,Carucci,40.7253697,-73.24843969999999
2811,Château Rauzan-Ségla,45.0411253,-0.6765373
2812,La Jota Vineyard,38.5539691,-122.4176861
2813,Portfolio,33.7716232,-118.1642602
2814,Château Léoville Barton,45.1573849,-0.7392487999999999
2815,Herman Story,35.62736,-120.685878
2816,Château Pichon Longueville,45.1770493,-0.7516086
2817,Far Niente,38.4257839,-122.4031331
2818,Le Piane,45.6884173,8.3960148
2819,Macauley,38.5042961,-122.4689929
2820,Falcone,39.7898698,-86.1948008
2821,Camille Giroud,47.0228219,4.845370099999999
2822,Domaine de la Pousse d'Or,46.999588,4.781746
2823,Domaine Jean Foillard,37.8749361,-122.2938006
2824,Domaine Chignard,46.194457,4.714797
2825,Mount Langi Ghiran,-37.315314,143.144554
2826,Jean-Paul Thevenet,46.164426,4.690042
2827,Château Pierre de Montignac,45.3360126,-0.9208646
2828,Clos de Haute-Combe,46.249098,4.704764
2829,Domaine des Nugues,46.1740387,4.7147724
2830,Redhawk,38.695485,-120.908747
2831,Seven Bridges,41.7674988,-88.0703008
2832,Château Bouissel,43.878495,1.304832
2833,Jarvis,36.0767383,-95.88337
2834,Viñedos de Paganos,42.554156,-2.607047
2835,G D Vajra,44.612983,7.920814
2836,Giuseppe Cortese,44.7130078,8.088575
2837,Cent'Anni,40.673101,-73.9573514
2838,Domaine Gérard Fiou,47.3395298,2.8541019
2839,Fattoria Le Pupille,42.7748625,11.2059394
2840,Domaine Jean-Paul Balland,47.316872,2.788284
2841,Sinor-LaVallee,35.1802729,-120.7352523
2842,Baer,36.0628796,-95.91933809999999
2843,Yangarra Estate Vineyard,-35.1586269,138.6406896
2844,Bodega Aconquija,-33.740762,-69.127776
2845,Spindrift Cellars,44.5389267,-123.3750803
2846,Luis Alegre,28.6307242,-106.0731792
2847,Weinert,33.3225988,-99.6725879
2848,Vignobles Berthier,47.3942489,2.8209837
2849,Gradis'ciutta,45.9634744,13.5580785
2850,Niedermayr Josef,46.46301,11.283206
2851,Scott Paul,33.1858569,-117.2852499
2852,Cascina Luisin,44.71874769999999,8.0843962
2853,Castello Gabiano,45.1595951,8.1922392
2854,Coppo,43.731742,-79.460526
2855,Domaine Françoise André,47.022851,4.8416558
2856,Eternal,42.36998699999999,-83.31545
2857,Tensley,34.665687,-120.114703
2858,Terroir Al Límit,41.2122716,0.811823
2859,Vetus,28.3552896,-80.6958207
2860,Vigne dei Mastri,44.7795659,8.1905919
2861,Vignobles Bulliat,46.16646249999999,4.6783991
2862,Bargetto,36.995361,-121.9544656
2863,Viñas del Vero,42.0604146,0.0912953
2864,Pago de Carraovejas,41.594665,-4.087886999999999
2865,Domaine de la Grenaudière,47.102941,-1.404658
2866,Vaza,41.1609868,-73.86368089999999
2867,Joseph Mellot,47.329748,2.850051
2868,Château Chatard,44.61960750000001,-0.2182284
2869,Ada Nada,44.698026,8.069830999999999
2870,Cascina Bongiovanni,44.6456593,7.9771981
2871,Casetta,43.0733359,-89.38699559999999
2872,Château Castera,45.2914079,-0.8672575
2873,Château la Baronnerie,34.0522342,-118.2436849
2874,Château la Verrière,48.7509614,1.9496011
2875,Core Winery,34.865351,-120.447469
2876,Jordan,37.9973704,-97.3342624
2877,Guenoc,38.7359634,-122.5283555
2878,Brick House,39.070933,-94.5798923
2879,Château Dutruch Grand Poujeaux,45.0759938,-0.7429863
2880,Château Villemaurine,44.8959068,-0.1529183
2881,Ferrari,33.0173417,-96.8352462
2882,Corteforte,45.54069459999999,10.8915382
2883,Dashe Cellars,37.7940694,-122.2662445
2884,Dunning Vineyards,35.589219,-120.773563
2885,Ridge,37.09024,-95.712891
2886,Schermeister,38.3542226,-122.5239782
2887,Gypsy Dancer,34.0296361,-118.4113818
2888,Tobacco Road,35.9925223,-78.903499
2889,Arnaldo Caprai,42.9218874,12.6423575
2890,Blackjack,37.7157019,-95.47009729999999
2891,Castillo Clavijo,42.3504819,-2.427203
2892,Château Lacombe Noaillac,45.4041329,-0.9828561
2893,Le Cirque,36.113453,-115.1752754
2894,Château de Jau,42.778612,2.739379
2895,Naia,39.0992057,-94.5816277
2896,Montecillo,31.810386,-106.5132227
2897,Dominio Buenavista,36.9616272,-3.0454257
2898,Viña Gormaz,47.6960395,-122.3739256
2899,Nepenthe,36.221813,-121.759323
2900,Château Peyrabon,45.1991524,-0.8177776
2901,Clos du Bois,38.684882,-122.877832
2902,DeTierra Vineyards,36.5566571,-121.920859
2903,Domaine Charles Baur,48.0421382,7.308121799999999
2904,Siro Pacenti,43.074123,11.507062
2905,K Squared Cellars,38.53574,-122.805137
2906,Kay Brothers,33.809125,-84.650547
2907,Kessler-Haak,34.6430807,-120.4352676
2908,MacRostie,38.5544444,-122.8733333
2909,Megan Anne,47.699676,-122.1849862
2910,Miner,38.462719,-122.371092
2911,Podere Brizio,43.0260512,11.4494998
2912,Hanna,35.2050977,-95.890275
2913,Robert Hall,35.6438088,-120.6335171
2914,Trerose,43.7163771,-79.56971639999999
2915,Villa Calcinaia,43.60077889999999,11.3066356
2916,Domaine D'en Ségur,43.7089703,1.7877116
2917,Domaine du Théron,44.51900699999999,1.171082
2918,Eberle,35.6498338,-120.6281877
2919,Canneto,38.0206792,14.3882892
2920,Château Lastours,43.3366591,2.3777471
2921,Deer Creek,35.6977515,-97.5897372
2922,Domaine de la Madone,46.1976339,4.684786799999999
2923,Il Paradiso di Manfredi,43.0638926,11.4967361
2924,Château de Bellevue,46.8602091,-71.40545120000002
2925,Gianni Brunelli,43.0278979,11.5178124
2926,M. Chapoutier,39.762929,-75.542626
2927,Alma Rosa,34.6142018,-120.1999257
2928,Vina Robles,35.6462671,-120.6305511
2929,Windstream,36.41534650000001,-96.3927697
2930,PoderNuovo a Palazzone,42.8953674,11.9371246
2931,The Dancing Fox,38.1313741,-121.2741807
2932,La Fenêtre,37.3161784,-121.9087458
2933,Leopoldo I di Toscana,43.269349,10.568167
2934,Ogier,30.2796243,-81.513094
2935,Podere Monastero,43.4773587,11.2857113
2936,Poggio Mandorlo,42.9620287,11.5482831
2937,Terre del Marchesato,43.214838,10.581393
2938,Tom Eddy,38.604852,-122.643013
2939,YNOT,36.8136968,-76.1697724
2940,Castillo de Monjardin,42.6337717,-2.1060945
2941,Masies d'Avinyo,41.818472,1.979277
2942,Arroyo,37.6800314,-122.1390996
2943,Estancia Piedra,28.6971085,-100.5290939
2944,Pursued by Bear,46.089097,-118.2783669
2945,Smith-Madrone,38.5322882,-122.549057
2946,Aperture,36.117588,-95.921684
2947,Turnbull,38.4446014,-122.4085278
2948,Chenoweth,37.53362870000001,-95.82766199999999
2949,Domaine Saint-André de Figuière,45.3267572,-85.2374055
2950,Monte Clavijo,21.1797593,-86.8982486
2951,Piera Martellozzo,46.0095234,12.6491934
2952,Siesta Wines,27.2766411,-82.5647248
2953,Domaine Jean Bousquet,-33.4326609,-69.192421
2954,Vinícola de Castilla,39.008509,-3.363121
2955,Damas,42.5092261,-83.35977299999999
2956,Casa de Campo,18.4272839,-68.9177426
2957,Domaine du Petit Métris,47.3322121,-0.6549567
2958,Château de Ferrand,44.8839286,-0.1187273
2959,Lecco,45.8565698,9.397670399999999
2960,Maggy Hawk,39.1353175,-123.5366237
2961,Saviah,46.005077,-118.382599
2962,Sobrero,37.8792,-122.286095
2963,Talbott,41.8992659,-87.627489
2964,Tenuta delle Terre Nere,37.885845,15.019168
2965,The Tribe,37.006469,-95.9329326
2966,Fidelitas,32.7070148,-117.151754
2967,Flywheel,37.09024,-95.712891
2968,Dr. Konstantin Frank,42.473507,-77.1840331
2969,Lamoreaux Landing,42.57663180000001,-76.8584529
2970,Fox Run,37.667398,-97.229225
2971,Leda,30.2207314,-92.0456023
2972,Havens,37.8253041,-122.2331404
2973,Tahbilk,-36.8262199,145.0850968
2974,Three,37.09024,-95.712891
2975,Château de Lavernette,46.2607042,4.753432
2976,Hertelendy,38.2292017,-122.2557327
2977,Addendum,38.3992735,-122.3582618
2978,Château Simon,45.863537,-75.111322
2979,Domaine Rotier,43.8736,1.984388
2980,Keller,32.9341893,-97.229298
2981,Kimsey,35.957801,-83.936048
2982,Margerum,34.4206761,-119.6993188
2983,Montemar Wines,34.6432113,-120.4396257
2984,Benovia,38.47676149999999,-122.798078
2985,Chateau Montelena,38.602514,-122.597722
2986,Elizabeth Rose,34.0907915,-118.3912794
2987,Luretta,44.9263723,9.5472479
2988,Viña Vilano,41.7113023,-3.9839405
2989,Bonneau,33.305446,-79.95785649999999
2990,Ciù Ciù,42.9437763,13.7653847
2991,Marqués de Riscal,42.5112876,-2.6197756
2992,Domaine Pichot,47.4217543,0.8098
2993,Domaine Joël Delaunay,47.3055667,1.2942985
2994,Santa Lucia,36.4307709,-121.4203754
2995,Villa Mottura,47.0184922,8.301250999999999
2996,Mocavero,40.33040200000001,18.0722191
2997,Wild Coyote,35.6576632,-120.762024
2998,Danielle de l'Ansée,47.267051,1.4427022
2999,Domaine Vincent Carême,47.4174072,0.8504004
3000,Stemilt Creek,47.4262068,-120.313226
3001,Antiquum Farm,44.2365445,-123.360392
3002,Cascina delle Rose,44.70591049999999,8.0829872
3003,Della,40.6527621,-73.9763581
3004,Bodegas del Muni,39.89367319999999,-3.3248465
3005,Capa,28.4016072,-81.54567349999999
3006,Domaine Pouillon,45.732605,-121.30566
3007,Pago de la Jaraba,39.3344782,-2.5357812
3008,Alzania,42.573072,-2.17305
3009,Bodegas Bleda,38.4971978,-1.3583134
3010,Matias Riccitelli,-33.0307173,-68.9580546
3011,McGah Family,37.84958,-122.031686
3012,Piazzo Armando,44.6858391,8.0705792
3013,Provenance Vineyards,38.46858,-122.434135
3014,ZD,38.47662450000001,-122.3896475
3015,Adelaida,35.645397,-120.874138
3016,Amici,34.0480975,-118.4919949
3017,I Sodi,40.7334635,-74.0050225
3018,Adler Fels,38.474249,-122.735547
3019,Balestri Valda,45.4502232,11.2388515
3020,Banfi,42.4464908,-76.48222620000001
3021,Cielo,30.266167,-97.7382581
3022,Tassi,37.6873065,-122.4662943
3023,LangeTwins,38.204161,-121.296572
3024,Flechas de los Andes,-32.8975467,-68.8028235
3025,Domaine de la Vougeraie,47.1121651,4.9365174
3026,JLC,40.7657367,-73.9695275
3027,Mueller Family Vineyards,38.2321856,-122.332048
3028,Territorial,35.98028410000001,-97.032257
3029,Domaine Coustarret,43.230669,-0.443678
3030,Boekenoogen,36.4794409,-121.7322583
3031,Casella,44.9578624,-73.8912096
3032,Badia a Coltibuono,43.494523,11.449765
3033,Joseph Swan Vineyards,38.483276,-122.8493168
3034,Hugh Hamilton,34.02084,-118.430884
3035,Villa des Anges,47.8395009,-69.53697939999999
3036,Lander-Jenkins,38.4885429,-122.4071289
3037,Laroche,40.5683978,-80.0143279
3038,Left Bend,37.228376,-121.981009
3039,Mont Marçal,40.7464638,-73.98426599999999
3040,Old Soul,39.0888026,-94.5839532
3041,Hervé Kerlann,46.9723017,4.932567199999999
3042,Cantina di Sorbara,41.0391175,-73.78369099999999
3043,Château du Carrubier,43.1375582,6.260557500000001
3044,Coyote Canyon,41.163922,-87.85032919999999
3045,Domaine de l'Echelette,46.534712,4.7828099
3046,Trenza,32.2639973,-110.9265136
3047,Ventolaio,43.002819,11.4959157
3048,Buehler,42.2702241,-87.8719752
3049,DeLorimier,38.70864600000001,-122.878451
3050,Domaine de Dauliac,44.4786008,1.3036693
3051,Merotto,45.8936146,12.073404
3052,Pedroncelli,38.70559410000001,-122.9394884
3053,Julien Schaal,48.21975219999999,7.395937600000001
3054,Galerie,39.0620942,-84.7057573
3055,Jean Biecher & Fils,48.21975219999999,7.3959377
3056,Moët & Chandon,37.8982665,-122.0637809
3057,Nickel & Nickel,39.7460294,-104.9985075
3058,Joseph,37.09024,-95.712891
3059,J Wrigley,45.1291483,-123.3817501
3060,Marilena Barbera,37.5900056,12.9351535
3061,McClean,42.3932029,-71.1909083
3062,Paramus,40.9445428,-74.0754189
3063,Spadafora,38.2227337,15.3793585
3064,Terrazze dell'Etna,37.8649715,14.9801567
3065,Alessandro di Camporeale,37.8941226,13.1138329
3066,Chloe,38.8746673,-77.0007553
3067,Contrada Santo Spirito di Passopisciaro,37.8659098,15.0257081
3068,Kana,43.0246511,-87.9167039
3069,Jean-Claude Boisset,38.485519,-122.43762
3070,Dehesa de los Llanos,38.928369,-1.863477
3071,I Favati,40.89940110000001,14.8259023
3072,Viña Herminia,42.2292622,-1.8981328
3073,Domaine Charles Frey,48.322481,7.446025000000001
3074,Andean,-21.1607667,-66.7752481
3075,Bodegas Fuentespina,41.6381808,-3.6901352
3076,Château Barbanau,43.247015,5.623025
3077,Château Margüi,43.508533,6.036343
3078,Orsi Family Vineyards,38.6247599,-122.8732151
3079,Ossian,40.880603,-85.1663593
3080,Whitehall Lane,38.477413,-122.437426
3081,Rigal,44.40578199999999,1.425473
3082,Val di Suga,43.0723011,11.4970133
3083,Cave de Tain,45.0717763,4.8458006
3084,Finca Decero,-33.12256929999999,-68.9510932
3085,Due Vigne,38.423395,-121.5330775
3086,Hard Row To Hoe,47.896664,-120.1325789
3087,Beresan,46.0059786,-118.3833224
3088,Cabot Vineyards,40.78135,-79.72511290000001
3089,Marqués de Terán,42.541769,-2.825331
3090,Migration,45.526222,-122.6364191
3091,Negretti,33.5080284,-112.028879
3092,Ruta 22,42.9527145,-73.3748579
3093,Chateau Walla Walla,46.0676486,-118.3379727
3094,Le Grand Vallat,44.04019659999999,5.217952599999999
3095,Marques de Monistrol,41.4467988,1.7858497
3096,Sweet Valley,41.2823036,-76.1446512
3097,Fernández de Piérola,42.5204415,-2.414007
3098,Mayo,43.3968791,-94.4799596
3099,Raymond Beck,26.1556265,-81.6759397
3100,Barefoot Cellars,37.6345454,-120.9822801
3101,Montaudon,24.7834965,-107.3740424
3102,Lumos,36.058103,-95.9201482
3103,Ground Boots,40.799643,-73.11961699999999
3104,Envy,37.0359834,-95.6166245
3105,Château du Cros,40.7437362,-73.99133139999999
3106,Château Haut-Mongeat,44.854977,-0.2553467
3107,Longplay,45.3004891,-122.9773301
3108,Antonelli,39.1042019,-84.5107232
3109,Caves de Rauzan,44.7785778,-0.1163673
3110,Château Brethous,44.772497,-0.4746860000000001
3111,Tabarrini,42.8681212,12.6657797
3112,Cirulli,39.0238583,-84.56455629999999
3113,Picos Pardos,40.4264352,-3.7040964
3114,Toriles,36.3060409,-119.3152221
3115,Marqués de Gelida,41.43998209999999,1.8655105
3116,Riverhaven,43.0221958,-86.1486649
3117,Château la Tour de Bessan,40.7684892,-73.9589049
3118,Domaine des Roches Neuves,47.2232609,-0.0642508
3119,Viña Mein,42.361717,-8.113188
3120,Leira,41.6595584,-91.54836519999999
3121,Croma Vera,35.2548834,-120.6451287
3122,Demarie,32.90068,-96.95739
3123,Ellena,44.2475545,-76.9498004
3124,Encanto,32.7117391,-117.0617553
3125,Taron,34.1016519,-118.297428
3126,Almquist,40.9111084,-124.0679287
3127,Carravid,41.6698952,-3.6844439
3128,Château de Parenchère,37.6675865,-77.57112099999999
3129,Château du Juge,45.5087323,-73.55311809999999
3130,Indigené,35.6269943,-120.6897034
3131,Latah Creek,47.674801,-117.2293191
3132,Château d'Orschwihr,47.9351809,7.234626800000001
3133,Saggi,49.1345058,-122.8563825
3134,Mas Amiel,42.8063674,2.6531736
3135,Arrocal,41.752261,-3.8037988
3136,Rombauer,38.545952,-122.49267
3137,Round Pond,38.464276,-122.404404
3138,Venge,38.5796684,-122.5535958
3139,Vidon Vineyard,45.345977,-123.016877
3140,Villa Raiano,40.874324,14.832333
3141,Tierra Prometida,29.930578,-98.16564299999999
3142,Tapiz,31.8650517,-116.6277385
3143,Domaine Thierry Mortet,47.227441,4.9771226
3144,Earthquake,36.0621451,-95.96527929999999
3145,Artisan Uprising,34.6421894,-120.4398724
3146,Bodegas Imperiales,41.782171,-3.699809
3147,Domaine Coudoulis,44.0556488,4.6920077
3148,Castello di Meleto,43.4500447,11.4246022
3149,Cecchi,37.8642427,-122.268998
3150,Diadema,-23.6816587,-46.6203412
3151,Molí dels Capellans,41.3791308,1.1615047
3152,Domaine de la Tour Boisée,43.27138100000001,2.518381
3153,Domaine du Moulin Berger,46.249815,4.74942
3154,Mommessin,46.12053419999999,4.6415034
3155,Recoletas,41.6510791,-4.7273483
3156,Viña Costeira,42.305462,-8.119258
3157,Four Vines,38.43579260000001,-122.8701655
3158,Bonnet-Huteau,47.1686645,-1.3232771
3159,Caves Cooperatives de Donnas,45.60324809999999,7.772962100000001
3160,Tangent,44.5412335,-123.1081497
3161,Edetària,41.0746186,0.4297315
3162,Girlan,46.4634353,11.2801524
3163,Librandi,39.3764658,17.1178307
3164,Peter Zemmer,46.2678292,11.2244039
3165,Terre de Vignerons,44.74090109999999,0.1550884
3166,Calvet,38.5740041,-121.4919054
3167,Château de Belcier,44.921937,0.005283899999999999
3168,Château Les Bertrands,32.9607546,-117.1144082
3169,Château Marot,44.7375946,0.0018815
3170,Geyser Peak,38.6045893,-122.8723053
3171,Salvestrin,38.496065,-122.46058
3172,Hess Select,38.3380587,-122.3900926
3173,Luce della Vite,38.2258921,-122.263705
3174,Château de la Grenière,44.9825861,-0.09719449999999999
3175,Máté,36.200212,-95.90581399999999
3176,Cà dei Frati,45.454773,10.61662
3177,Chacewater,38.9823669,-122.8344233
3178,Château de Berne,43.5199964,6.336418099999999
3179,Château Minuty,43.242938,6.595379899999999
3180,Château Roubine,43.4948408,6.4102312
3181,Château Sainte Marguerite,43.1469371,6.2195695
3182,Clos LaChance,37.0728894,-121.6432703
3183,Fabre Montmayou,-33.0347975,-68.921787
3184,Fritz,39.1654771,-94.5954874
3185,Ancient Peaks,35.389063,-120.613002
3186,Château du Galoupet,43.1326379,6.1987919
3187,Château Saint-Maur,43.2603823,6.5149963
3188,Chêne,45.5636968,-73.9758837
3189,Citari,45.4217681,10.6060224
3190,Den Hoed,46.306121,-119.813259
3191,Convento San Francisco,28.6408196,-106.072069
3192,Domaine Chasselay,45.88534,4.632014
3193,Lujon,33.8719946,-117.9240252
3194,Altozano,32.0665837,-116.6019459
3195,Baron Philippe de Rothschild,41.30839,-72.93095799999999
3196,Bodega NQN,-38.54935589999999,-68.4134337
3197,Don Olegario,42.538868,-8.794705
3198,San Huberto,27.9247765,-110.7709942
3199,Des Voigne Cellars,47.76378099999999,-122.150696
3200,Collegiale des Domaines de Loire,47.1204496,-0.2222185
3201,Bougrier,47.3108429,1.1211049
3202,Cavazza,41.82257329999999,-71.40971189999999
3203,Le Vigne di Alice,45.9519636,12.2888854
3204,Baldi,40.0916912,-75.05261569999999
3205,Mancan,40.81848799999999,-81.39046599999999
3206,Les Vignerons du Pallet,47.139777,-1.337189
3207,La Zorra,32.1333333,-116.75
3208,Black Hills,43.9939484,-103.7717686
3209,Painted Rock,35.1458048,-119.861522
3210,Leone de Castris,40.382374,17.965792
3211,Burbank Ranch,35.5519243,-120.5891038
3212,Church & State,37.09024,-95.712891
3213,Corvus,39.684904,-104.987262
3214,Cola,33.7629496,-84.39266959999999
3215,Fattoria di Grignano,43.8056805,11.4596206
3216,Veuve Clicquot Ponsardin,42.4453306,-82.90687
3217,Villa,37.2169135,-95.7002339
3218,Lantieri de Paratico,45.6373836,9.938519399999999
3219,Portal del Priorat,41.1671282,0.7405025
3220,Cantina Terre del Barolo,44.6455796,7.9759157
3221,Cascina Saria,44.719525,8.139999
3222,Castillo's Hillside Shire,37.1534993,-121.6230063
3223,Cave de Lugny,46.4805876,4.8158278
3224,Château La Greffière,46.355811,4.728314
3225,Domaine de Cabriac,41.6985692,-73.8795908
3226,San Silvestro,42.4453306,-82.90687
3227,Peter Lehmann,47.7374289,-122.6425891
3228,Cottini,37.450739,-122.186999
3229,Nicolis,45.39546050000001,-122.7428034
3230,Lafage,43.174142,1.862844
3231,Domaine Calvet-Thunevin,42.809936,2.600715
3232,Rotari,26.0934929,-98.2723061
3233,Monte dall'Ora,45.5042752,10.9014176
3234,Rivera,36.088193,-95.8723026
3235,St. Hubertus,39.5199406,-119.8146394
3236,Borjón,38.5267638,-120.8132296
3237,Canvasback,42.1006987,-87.76897029999999
3238,Château Haut-Monplaisir,44.482059,1.0665338
3239,Domaine du Fief aux Dames,47.1326387,-1.3545902
3240,Domenico Clerico,44.5870519,7.9487153
3241,Freeman,37.0527014,-94.52678739999999
3242,Cantine Paolo Leo,40.457213,17.923526
3243,Bisol,33.6552877,-117.8599941
3244,Cave de Hunawihr,48.1806639,7.312954700000001
3245,Continuum,36.0624072,-95.97405060000001
3246,Domaine Eden,37.2683088,-122.0604075
3247,Raccaro,45.967809,13.464104
3248,Lavinea,45.30019859999999,-123.1825801
3249,Windrun,30.0486275,-89.9601078
3250,Sedosa,32.9739107,-96.7154099
3251,Château Champ du Moulin,44.98645500000001,6.120023
3252,Cheval Quancard,44.9145632,-0.4896164
3253,Elephant Seven,46.064312,-118.3405668
3254,Bodkin,17.7513619,-64.8415347
3255,Altamira,43.377452,-4.122347
3256,Finca La Luz,38.9574433,-77.0837827
3257,Domaine de Nalys,44.067734,4.8499934
3258,Château de la Jaubertie,44.7749657,0.5195063999999999
3259,Bryn Mawr Vineyards,45.0440058,-123.1537
3260,Col dei Venti,44.74325,8.193935999999999
3261,Delgado,29.9869923,-90.10395299999999
3262,Dois Irmãos,-22.9513889,-43.3997222
3263,Tenuta Santo Pietro,43.1052462,11.7141026
3264,Château les Reuilles,44.743319,0.182948
3265,Vincent Lataste,44.637411,-0.3003
3266,Bonterra,25.9091945,-80.3552642
3267,La Calonica,43.1685864,11.9416629
3268,Marcato,33.8043145,-118.332771
3269,Il Molino di Grace,43.522774,11.3062513
3270,Iris Vineyards,43.8831255,-123.2571837
3271,J. Rickards,38.73860610000001,-122.9494658
3272,La Castellina,43.468945,11.286052
3273,Domaine Chiroulet,43.992693,0.286141
3274,Trig Point,38.2966196,-122.2917645
3275,Tyler Florence,37.6171525,-122.3824143
3276,R. Stuart & Co.,45.2115353,-123.1903711
3277,L'Oliveto,36.03404039999999,-95.88707950000001
3278,Palmer & Co,37.09024,-95.712891
3279,Rocca di Castagnoli,43.4433588,11.4518229
3280,Silver Mountain,47.540718,-116.133171
3281,Alchemist,36.0616051,-95.8854661
3282,Baehner Fournier,34.664368,-120.072595
3283,Maison Basque,43.6556204,-79.487178
3284,Buffalo Ridge,36.5765757,-93.19372480000001
3285,Michel Lynch,26.2719844,-80.2496001
3286,Seigneurs de Bergerac,44.853806,0.483392
3287,Mont Tauch,42.895278,2.663056
3288,Crocedimezzo,43.0390171,11.5038218
3289,Anew,47.4738281,-122.223872
3290,Bolla,41.0999144,-74.16548759999999
3291,Tom Gore,37.809377,-121.9903646
3292,Yves Leccia,42.6680141,9.3460127
3293,786 Wines,38.7634398,-76.0612779
3294,Irwin Family Vineyards,38.2898501,-122.4572464
3295,Castoro Cellars,35.5772854,-120.7229373
3296,Cloudlift Cellars,47.5536283,-122.3305066
3297,Clos d'Audhuy,44.486256,1.078676
3298,Co Dinn,46.3211401,-120.014072
3299,Domaine Guy & Yan Dufouleur,47.209624,-72.89314499999999
3300,Kössler,40.4844013,-88.9602
3301,La Mannella,43.065972,11.477086
3302,Otero Ramos,-33.0062359,-68.8364899
3303,San Juan Vineyards,48.5665846,-123.0620007
3304,Vila,32.838761,-96.97536300000002
3305,Bodegas Escorihuela,-32.9125815,-68.8429539
3306,Chateau Morrisette,36.793824,-80.39546790000001
3307,Yellow Hawk Cellar,38.7209101,-82.9582284
3308,Koenig Vineyards,43.60491,-116.82175
3309,Benanti,32.8361821,-96.7586836
3310,Campo Eliseo,31.7069364,-106.389661
3311,Cepa 21,32.571982,-89.33585049999999
3312,Domaine Chanson,47.0268843,4.837350799999999
3313,Domaine Rossignol-Trapet,47.226905,4.980850999999999
3314,Domaine Chantal Lescure,47.13548670000001,4.9493997
3315,Nicolas Gaudry,45.5019721,-73.61607219999999
3316,Scroll,36.96309249999999,-92.66204689999999
3317,Silvano Bolmida,44.601856,7.966322000000001
3318,Stefania Mezzetti,43.2113735,12.0087267
3319,French Creek,40.2147751,-75.7894721
3320,Giannoni Fabbri,43.257484,11.9991748
3321,Lost Canyon,35.2348012,-112.1720831
3322,Musso,34.1018304,-118.3354084
3323,Musset-Roullier,47.3692796,-0.8547893
3324,Horse & Plow,37.09024,-95.712891
3325,Cormòns,45.9603147,13.4694723
3326,Domaine Grosbois,45.5439028,-73.58335749999999
3327,El Pensador,48.8556147,2.3155417
3328,Harmonique,44.9706598,-93.3748971
3329,Helwig,38.5310523,-120.8117902
3330,Jacob Williams,45.6637229,-121.0353404
3331,Kramer,36.1422146,-95.9926454
3332,Apsara,41.802074,-71.42546949999999
3333,Arínzano,42.6307119,-1.9939643
3334,Benessere,40.7259483,-74.3732607
3335,Bertrand-Delespierre,49.1715937,3.952528
3336,Castel Boglione,44.7222754,8.380692999999999
3337,Castello Bonomi,45.5716135,9.9677966
3338,Chassenay d'Arce,48.1063674,4.445702499999999
3339,Château Jean Faux,44.81508890000001,0.0117695
3340,Château Jussas,45.28319399999999,-0.3439999
3341,Château Les Martins,37.0786898,-92.92429249999999
3342,Château Rocher Bellevue,47.6101497,-122.2015159
3343,Contadi Castaldi,45.6320153,9.9542362
3344,Mollie,37.7606357,-122.4363654
3345,Groth,44.8574185,-93.27973659999999
3346,Justin,37.0814002,-94.47678119999999
3347,Clos du Marquis,40.7684892,-73.9589049
3348,Château Couhins-Lurton,44.7542249,-0.5621423
3349,Anko,34.0670433,-118.3089631
3350,Bodegas Tintoralba,38.9611266,-1.444224
3351,Château de Ricaud,44.640361,-0.2791691
3352,Mil Piedras,28.6831763,-100.5481449
3353,Raimat,41.6779778,0.4783674000000001
3354,The Loyal Companion,32.2494514,-110.8908743
3355,Château de Lavagnac,43.5091684,3.4747374
3356,Barons V,46.0671471,-118.339916
3357,Celler Arché Pagès,42.3746669,2.923919
3358,Château Bel Air Perponcher,44.8882451,-0.1607374
3359,Château du Domaine de l'Eglise,44.9347466,-0.1997125
3360,Château Fombrauge,40.7684892,-73.9589049
3361,Château Malbec,38.4275595,-122.5482248
3362,Château Mongravey,44.995245,-0.6917310000000001
3363,Château Reverdi,45.0966466,-0.7797879
3364,Highlands,35.0525909,-83.19681729999999
3365,Anaba,34.189471,-119.223104
3366,Château Bois Malot,44.94524029999999,-0.4553259999999999
3367,Château de Rayne Vigneau,44.5483634,-0.345804
3368,Dobbes Family Estate,45.2795302,-123.0078417
3369,Fortress,36.3218603,-95.5010767
3370,Jaxon,39.9624259,-75.1429291
3371,Lawer,37.09024,-95.712891
